Date,JPM,BAC,WFC,HSBC,C,RY,TD,HDB,AXP,USB,GS,BLK,ITUB,WBK,BNS,LFC,SCHW,PUK,LYG,BBD,SMFG,ING,BK,SPGI,BMO,COF,MFG,BBVA,MMC,BCS,PRU,CM,CS,PGR,MFC,AFL,ALL,AON,TRV,STI,AMTD,MCO,STT,IBN,TROW,MTB,DB,NTRS,SLF,KEY,RF,IX,FITB,WLTW,HIG,BAP,SHG,KB,HBAN,BEN,SIVB,CMA,MKL,L,ETFC,BCH,NMR,EFX,PFG,BSAC,XL,LNC,RJF,AJG,AEG,ACGL,ROL,CINF,FNF,CIB,ZION,AFG,TMK,Y,SEIC,EWBC,WRB,RE,CACC,BRO,AMG,UNM,CBSH,CFR,MKTX,AIZ,BOKF,ORI,PACW,PBCT
29/12/2006, 35.81878,43.227406,26.004757,49.81222,523.379761,27.79949,13.486498, 12.271341, 49.860943,26.719500,172.99632,113.60755, 6.889185, 1.824774,24.64944,11.145828,16.764004,19.060198,19.929003, 6.261069,15.032637,33.463169,33.00651, 51.52363,31.31058, 62.988815,9.350899,12.382927,22.19318,37.637489, 62.769669,41.91684,45.022892,16.680735,21.291193,13.134843, 48.47904, 30.28784, 40.08382,65.271637,13.475198, 58.61044, 56.49774, 3.557176, 32.07813, 86.28384, 97.14987, 47.40044,24.143236,28.444458,28.226559,121.744133,30.435394, 90.94855,71.998833, 30.26811,40.29617,71.58483,16.807999,26.887705, 46.62, 44.94811, 480.10,38.46840,223.539474, 25.75634,14.198204, 35.60462,43.384647, 7.696977,52.383118,53.824402, 25.439388,18.54065,11.778241, 7.512222, 4.952894,27.61784, 7.233528,21.87957,72.657791, 26.002501,23.106604,323.7783,26.162010,29.515280,29.04752, 76.03651, 33.33,10.303154,104.07362,16.628754,25.62575, 38.95950, 12.200351, 44.19140, 42.27506,11.933990,35.512035,12.821596
03/01/2007, 35.90094,43.178837,26.136387,50.52966,519.151428,27.66530,13.577871, 12.181925, 49.729145,26.704733,174.18517,116.01585, 7.002519, 1.824392,24.44586,12.302119,17.128065,19.493229,20.096062, 6.417720,15.105255,33.826813,33.27480, 50.81919,31.30001, 63.341404,9.337928,12.753489,22.62749,38.472576, 63.054775,42.04115,45.190491,16.673845,21.259693,13.206222, 48.60562, 30.33070, 39.97932,65.464844,13.874954, 59.67979, 57.05903, 3.599787, 33.52922, 86.65114, 98.68105, 47.88467,23.989309,28.444458,28.694473,121.039207,30.472578, 92.29980,72.438690, 30.85218,39.81265,69.48096,16.999075,27.671127, 46.99, 45.33110, 478.30,38.24576,228.425049, 25.58126,14.235686, 35.08721,43.842884, 7.735333,52.201279,53.905449, 25.783503,18.58457,11.921193, 7.495555, 5.022336,27.92870, 7.175972,22.46294,73.071991, 26.422482,23.467941,330.8130,26.056583,29.631947,29.08960, 76.92004, 33.03,10.310458,104.81608,16.636753,25.58340, 39.65744, 12.119429, 44.66331, 42.58262,12.051894,35.579979,12.838839
04/01/2007, 35.99056,43.454109,26.180277,50.14921,517.366272,27.32693,13.539044, 12.159163, 49.366627,26.726892,172.56241,117.26485, 6.972006, 1.803023,24.48438,11.662188,16.998045,19.506975,19.968567, 6.486114,14.814769,33.781357,33.20772, 50.58436,31.09900, 63.267578,9.318476,12.758633,22.89531,38.524372, 62.798912,41.63337,45.145367,16.687620,21.278601,13.060599, 48.66518, 30.67351, 39.64334,64.885178,13.808326, 59.24696, 57.47793, 3.592969, 33.82238, 86.55930, 98.72481, 47.46291,23.516146,28.235029,28.558634,122.001221,30.480005, 92.52882,71.952507, 30.29029,39.14975,67.73219,16.984921,27.793152, 47.33, 45.35408, 479.90,37.79121,232.213837, 25.99644,14.318148, 35.39415,43.761581, 7.799262,51.888508,53.467716, 25.682795,18.50927,11.827963, 7.492222, 5.035777,27.79460, 7.182031,21.07833,73.398087, 25.857687,23.482504,324.8023,26.170792,29.856945,28.68557, 76.66426, 32.01,10.270285,103.67763,16.724781,25.58870, 39.67140, 12.047507, 45.10322, 41.52152,11.964748,35.532429,12.787111
05/01/2007, 35.69181,43.105957,26.033998,49.70353,514.641174,27.11689,13.488786, 11.902290, 48.715759,26.409420,172.73601,117.23489, 6.752640, 1.760094,24.42385,10.607405,16.642653,19.156424,19.695990, 6.215662,14.887394,33.213158,33.04842, 50.60708,30.97203, 63.267578,9.376836,12.580149,22.68539,37.708698, 62.645397,41.79750,44.326771,16.357037,21.058052,13.077735, 48.53116, 30.49353, 39.12821,64.034981,13.558481, 58.37279, 57.30200, 3.570811, 33.75642, 85.04781, 96.99676, 46.83810,23.202589,27.913404,28.068050,121.105553,29.877710, 91.56689,70.733406, 30.01674,37.72648,67.06641,16.829231,27.278210, 46.50, 44.84854, 478.50,37.44801,230.219727, 26.01145,14.078260, 34.85044,43.288574, 7.679396,51.648491,52.827343, 25.372250,18.26457,11.703656, 7.418889, 4.858808,27.59954, 7.139624,21.35947,73.177765, 25.365292,23.092951,319.5930,26.003880,29.473633,28.24790, 75.65678, 30.58,10.262976,102.84608,16.500719,25.36637, 39.14096, 11.669897, 44.79127, 41.59840,11.821211,34.642406,12.646312
08/01/2007, 35.81133,43.275978,25.960886,49.44266,517.272095,27.01188,13.502493, 11.803120, 49.177135,26.320822,176.79732,119.39639, 6.804142, 1.756087,24.33032,11.896093,16.850681,19.177048,19.792709, 6.420831,15.032637,33.167698,33.18257, 50.44802,30.85566, 63.488972,9.428712,12.549051,22.46824,38.161850, 63.032867,41.82234,44.023827,16.467232,21.064363,13.086298, 48.59816, 30.33926, 38.83704,63.702633,13.783343, 58.35585, 57.90518, 3.641546, 34.37204, 85.64816, 96.75615, 47.26767,23.310905,28.137804,27.886932,122.424171,29.684341, 90.94855,71.088364, 29.93541,38.36988,67.56351,16.793842,28.051849, 46.33, 44.77959, 480.00,37.44801,234.407364, 24.60083,14.138233, 34.97321,43.369869, 7.671404,51.488480,52.888508, 25.514929,17.93203,11.722303, 7.462222, 4.863288,27.64831, 7.139624,21.39462,73.301140, 25.358053,22.914549,319.0142,26.157616,29.481955,28.63508, 75.37776, 32.00,10.226453,104.20230,16.524723,25.31343, 39.12002, 11.723844, 44.83125, 41.39848,11.708435,34.615238,12.672175
09/01/2007, 35.66194,43.316456,26.026697,48.96435,512.762024,26.77267,13.390558, 11.635666, 48.864048,26.306046,177.10106,120.15179, 6.632463, 1.796345,24.09922,10.671399,17.119389,19.245785,19.893829, 6.282500,14.960017,33.296497,33.04005, 50.66012,30.92443, 62.833012,9.597318,12.517946,22.53339,38.725048, 62.784290,41.79252,43.688656,16.184860,20.913134,13.134843, 48.34502, 30.16785, 38.73999,63.725807,13.983223, 57.88057, 57.67898, 3.581038, 34.51129, 85.43627, 96.73427, 47.65816,23.333710,28.279915,27.969950,123.560333,29.743847, 90.00946,70.162437, 29.55096,37.97994,67.03976,16.779684,28.547291, 46.48, 44.68768, 483.20,38.20867,232.512955, 24.40074,14.400609, 34.84168,43.325512, 7.613868,50.535671,53.263672, 25.875834,17.93831,12.250612, 7.392222, 4.829687,27.46545, 7.124477,21.02210,73.706566, 25.285645,22.958241,318.7916,26.258642,29.440298,28.28998, 75.23051, 31.86,10.189934,105.21206,16.404690,25.23933, 38.91761, 11.597974, 44.55933, 41.24471,11.687927,34.588051,12.583091
10/01/2007, 35.92334,43.381245,25.946251,48.88827,508.627533,26.54514,13.296900, 11.534863, 48.831100,26.291285,180.59824,123.33036, 6.662981, 1.770588,23.72508,10.260961,17.310097,19.053322,19.814693, 6.200124,14.843822,32.690411,33.21611, 51.33427,30.75516, 62.070442,9.525984,12.398726,22.56957,38.161850, 63.559227,41.71294,43.501724,16.143534,20.906834,13.291891, 48.21843, 30.15070, 38.48616,64.058174,14.008208, 58.49163, 58.16486, 3.489851, 34.70917, 86.65114, 95.93222, 47.88467,23.328005,28.122828,28.052961,119.463509,29.669481, 88.97885,70.085258, 29.41788,38.24900,67.17291,16.673532,28.845051, 46.41, 44.62640, 487.20,38.43130,235.205002, 24.21065,14.318148, 34.92060,43.606369, 7.529164,49.982895,53.500172, 26.136015,17.96341,12.381139, 7.423333, 4.807285,27.44106, 7.118422,20.97993,74.138428, 25.191233,23.183960,326.0846,26.544155,29.381962,27.88595, 75.37003, 32.00,10.164363,105.69714,16.276651,25.31873, 38.79198, 11.579995, 44.38337, 41.00635,11.698179,34.968521,12.689412
11/01/2007, 36.08018,43.122150,25.990128,48.93175,509.003357,26.77852,13.301473, 11.809620, 48.979385,26.217449,183.86984,125.66388, 6.752640, 1.803023,23.65355,10.029261,17.578802,19.520723,20.043306, 6.294930,14.669529,32.857090,33.53469, 52.43261,30.78690, 62.308243,9.454652,12.543867,22.59129,38.589108, 64.173317,41.59856,43.733761,15.978247,20.856422,13.691641, 47.73446, 30.16785, 38.22485,63.926777,14.249730, 59.23000, 59.22042, 3.657738, 35.39075, 85.76119, 96.43532, 48.05650,23.544649,28.152754,28.143539,117.630692,29.691792, 89.39110,70.038956, 29.73579,39.53189,67.97186,16.680613,29.316071, 47.05, 44.35063, 494.00,38.96004,240.389694, 24.21065,14.025786, 34.94690,44.419376, 7.617064,49.968327,53.973190, 26.555666,18.07008,12.468151, 7.392222, 4.852088,27.50203, 7.109333,21.22593,73.600830, 25.539808,23.544394,326.0935,26.996590,29.706942,28.28156, 76.34654, 31.99,10.244717,106.60789,16.388683,25.38225, 39.07116, 11.633935, 45.23117, 41.35235,11.759695,35.559597,12.810101
12/01/2007, 35.84119,43.219307,25.968185,49.11111,510.976471,27.09356,13.427114, 12.676160, 48.616898,26.246986,185.70093,129.01453, 6.840388, 1.813517,23.98918,10.340398,17.639484,19.740667,20.628029, 6.442595,15.032637,33.114666,33.81135, 51.42517,31.23653, 63.152786,9.720525,12.694181,22.69987,38.835098, 64.100243,41.88203,44.036716,16.115988,21.196676,13.817282, 48.09930, 30.54495, 38.12032,64.042709,14.449607, 58.87353, 59.60578, 3.830739, 35.58863, 84.97716, 98.28002, 48.08774,23.795479,28.115362,27.969950,118.791740,29.766148, 91.63558,70.424767, 29.94280,40.60422,69.99583,16.638145,29.267263, 47.56, 44.46555, 496.50,39.20121,249.462875, 23.18521,14.160723, 35.12229,44.618935, 7.650628,49.677402,53.744831, 26.606028,18.08889,12.536524, 7.382222, 4.843128,27.64831, 7.188090,21.36649,73.371681, 25.597900,23.591728,323.6892,27.058083,29.831928,28.08796, 76.88129, 32.00,10.284887,107.90472,16.372684,25.24992, 39.02231, 11.651917, 45.51913, 41.77525,11.877600,35.668297,12.807229
16/01/2007, 36.13993,43.267887,26.494722,49.07306,514.641174,26.94188,13.440814, 12.705422, 48.715759,26.394644,185.35373,128.23665, 6.928125, 1.802832,24.13774,10.797177,17.492125,19.623821,20.553291, 6.450363,15.250504,33.266193,33.92873, 52.09174,31.12016, 62.472229,9.727009,12.714921,22.68539,38.666779, 64.780106,41.98146,44.346104,16.102217,21.152571,13.871534, 47.98762, 30.38212, 38.11286,64.923820,14.990952, 58.86505, 59.49686, 3.765118, 35.22219, 84.65934, 98.03942, 48.68131,24.285759,28.070484,27.849195,117.904373,30.004105, 92.41432,71.751945, 30.79303,40.31956,70.57284,16.475374,29.389286, 47.52, 44.63405, 505.89,39.19194,253.750214, 23.60039,14.273169, 35.29768,44.655891, 7.695377,49.619205,53.875309, 26.463350,18.12655,12.623538, 7.402222, 4.838647,27.70317, 7.188090,21.08536,73.257111, 25.576113,23.409681,326.5833,27.400703,30.106924,27.89437, 76.45503, 32.00,10.317762,107.47904,16.380688,25.43518, 38.65938, 11.508068, 45.47113, 41.31391,11.892977,35.444092,12.749754
